State,County,Total_Enrolled,UHC_Enrolled,UHC_Share,Comp1_Name,Comp1_Enrolled,Comp1_Share,Comp2_Name,Comp2_Enrolled,Comp2_Share,Comp3_Name,Comp3_Enrolled,Comp3_Share,Comp4_Name,Comp4_Enrolled,Comp4_Share
ID,Elmore,2583,1136,43.98,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",567,21.95,Humana,370,14.32,Molina Healthcare,305.0,11.81,PACIFICSOURCE COMMUNITY HEALTH PLANS,98.0,3.79
ID,Franklin,1100,203,18.45,"SELECTHEALTH, INC.",821,74.64,Humana,64,5.82,CVS Health (Aetna),12.0,1.09,ALIGNMENT HEALTH PLAN,0.0,0.0
ID,Fremont,1118,265,23.7,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",721,64.49,Molina Healthcare,85,7.6,Humana,31.0,2.77,CVS Health (Aetna),16.0,1.43
ID,Gem,3589,1053,29.34,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",1647,45.89,Humana,318,8.86,Molina Healthcare,198.0,5.52,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.",151.0,4.21
ID,Gooding,1765,351,19.89,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",840,47.59,PACIFICSOURCE COMMUNITY HEALTH PLANS,307,17.39,Molina Healthcare,125.0,7.08,Humana,76.0,4.31
ID,Idaho,881,628,71.28,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,155,17.59,Molina Healthcare,33,3.75,CVS Health (Aetna),30.0,3.41,Humana,21.0,2.38
ID,Jefferson,2600,797,30.65,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",1493,57.42,Molina Healthcare,170,6.54,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,77.0,2.96,Humana,37.0,1.42
ID,Jerome,2292,453,19.76,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",1228,53.58,PACIFICSOURCE COMMUNITY HEALTH PLANS,315,13.74,Molina Healthcare,142.0,6.2,Humana,90.0,3.93
ID,Kootenai,21492,5407,25.16,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",7933,36.91,PACIFICSOURCE COMMUNITY HEALTH PLANS,3173,14.76,"REGENCE BLUESHIELD OF IDAHO, INC.",1683.0,7.83,Molina Healthcare,1389.0,6.46
ID,Latah,2325,1052,45.25,"REGENCE BLUESHIELD OF IDAHO, INC.",544,23.4,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",372,16.0,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,163.0,7.01,Molina Healthcare,131.0,5.63
ID,Lemhi,256,242,94.53,CVS Health (Aetna),14,5.47,ALIGNMENT HEALTH PLAN,0,0.0,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,0.0,0.0,AULTCARE HEALTH INSURING CORPORATION,0.0,0.0
ID,Lewis,109,109,100.0,ALIGNMENT HEALTH PLAN,0,0.0,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,0,0.0,AULTCARE HEALTH INSURING CORPORATION,0.0,0.0,"AVMED, INC.",0.0,0.0
ID,Lincoln,442,168,38.01,PACIFICSOURCE COMMUNITY HEALTH PLANS,102,23.08,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",97,21.95,Molina Healthcare,31.0,7.01,Humana,27.0,6.11
ID,Madison,1830,492,26.89,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",1117,61.04,Molina Healthcare,172,9.4,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,35.0,1.91,CVS Health (Aetna),14.0,0.77
ID,Minidoka,2126,645,30.34,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",1078,50.71,Molina Healthcare,215,10.11,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,105.0,4.94,Humana,83.0,3.9
ID,Nez Perce,4243,960,22.63,"REGENCE BLUESHIELD OF IDAHO, INC.",1659,39.1,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",901,21.23,Molina Healthcare,444.0,10.46,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,157.0,3.7
ID,Oneida,227,145,63.88,Humana,82,36.12,ALIGNMENT HEALTH PLAN,0,0.0,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,0.0,0.0,AULTCARE HEALTH INSURING CORPORATION,0.0,0.0
ID,Owyhee,1513,348,23.0,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",661,43.69,Humana,209,13.81,Molina Healthcare,139.0,9.19,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.",80.0,5.29
ID,Payette,3751,1174,31.3,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",1586,42.28,Humana,466,12.42,Molina Healthcare,231.0,6.16,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.",204.0,5.44
ID,Power,625,26,4.16,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",452,72.32,Molina Healthcare,89,14.24,Humana,58.0,9.28,ALIGNMENT HEALTH PLAN,0.0,0.0
ID,Shoshone,1354,587,43.35,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",529,39.07,Molina Healthcare,137,10.12,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,59.0,4.36,Humana,27.0,1.99
ID,Teton,239,186,77.82,CVS Health (Aetna),27,11.3,Humana,26,10.88,ALIGNMENT HEALTH PLAN,0.0,0.0,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,0.0,0.0
ID,Twin Falls,11232,2833,25.22,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",5355,47.68,Molina Healthcare,1049,9.34,PACIFICSOURCE COMMUNITY HEALTH PLANS,981.0,8.73,Humana,767.0,6.83
ID,Valley,1574,625,39.71,PACIFICSOURCE COMMUNITY HEALTH PLANS,428,27.19,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",342,21.73,Humana,86.0,5.46,Molina Healthcare,40.0,2.54
ID,Washington,1700,359,21.12,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",727,42.76,Humana,393,23.12,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.",114.0,6.71,Molina Healthcare,95.0,5.59
IL,Adams,5951,2735,45.96,CVS Health (Aetna),1734,29.14,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,562,9.44,HEALTH CARE SERVICE CORPORATION,269.0,4.52,Molina Healthcare,219.0,3.68
IL,Alexander,657,314,47.79,CVS Health (Aetna),209,31.81,Humana,93,14.16,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,23.0,3.5,Molina Healthcare,18.0,2.74
IL,Bond,1685,703,41.72,CVS Health (Aetna),590,35.01,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,114,6.77,Humana,85.0,5.04,"CHA HMO, INC.",47.0,2.79
IL,Boone,5724,738,12.89,CVS Health (Aetna),2713,47.4,Humana,1341,23.43,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,301.0,5.26,HEALTH CARE SERVICE CORPORATION,188.0,3.28
IL,Brown,348,46,13.22,CVS Health (Aetna),222,63.79,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,52,14.94,Humana,28.0,8.05,ALIGNMENT HEALTH PLAN,0.0,0.0
IL,Bureau,2693,385,14.3,CVS Health (Aetna),1220,45.3,Humana,313,11.62,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,280.0,10.4,Elevance Health (Anthem),126.0,4.68
IL,Calhoun,456,167,36.62,CVS Health (Aetna),209,45.83,Humana,24,5.26,Elevance Health (Anthem),20.0,4.39,"CHA HMO, INC.",13.0,2.85
IL,Carroll,1737,316,18.19,CVS Health (Aetna),456,26.25,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,411,23.66,Humana,315.0,18.13,Centene (WellcCare),115.0,6.62
IL,Cass,1036,115,11.1,CVS Health (Aetna),588,56.76,Humana,141,13.61,Centene (WellcCare),65.0,6.27,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,40.0,3.86
IL,Champaign,19744,270,1.37,CVS Health (Aetna),8348,42.28,"HEALTH ALLIANCE CONNECT, INC.",7527,38.12,Humana,1123.0,5.69,Molina Healthcare,987.0,5.0
IL,Christian,3882,320,8.24,CVS Health (Aetna),2505,64.53,Humana,379,9.76,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,186.0,4.79,"HEALTH ALLIANCE CONNECT, INC.",108.0,2.78
IL,Clark,1660,141,8.49,CVS Health (Aetna),865,52.11,Humana,305,18.37,Centene (WellcCare),129.0,7.77,"HEALTH ALLIANCE CONNECT, INC.",112.0,6.75
IL,Clay,808,97,12.0,CVS Health (Aetna),472,58.42,Humana,89,11.01,Centene (WellcCare),56.0,6.93,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,37.0,4.58
IL,Clinton,3286,1525,46.41,CVS Health (Aetna),1186,36.09,Humana,164,4.99,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,141.0,4.29,"CHA HMO, INC.",67.0,2.04
IL,Coles,4928,371,7.53,CVS Health (Aetna),2517,51.08,"HEALTH ALLIANCE CONNECT, INC.",914,18.55,Centene (WellcCare),416.0,8.44,Humana,360.0,7.31
IL,Cook,394994,53841,13.63,Humana,122500,31.01,CVS Health (Aetna),84794,21.47,HEALTH CARE SERVICE CORPORATION,37368.0,9.46,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,23966.0,6.07
IL,Crawford,1084,76,7.01,CVS Health (Aetna),516,47.6,"HEALTH ALLIANCE CONNECT, INC.",231,21.31,Humana,131.0,12.08,Centene (WellcCare),82.0,7.56
IL,Cumberland,1093,58,5.31,CVS Health (Aetna),732,66.97,Humana,97,8.87,"HEALTH ALLIANCE CONNECT, INC.",80.0,7.32,Centene (WellcCare),73.0,6.68
IL,De Witt,1562,120,7.68,CVS Health (Aetna),566,36.24,"HEALTH ALLIANCE CONNECT, INC.",321,20.55,Humana,261.0,16.71,Centene (WellcCare),97.0,6.21
IL,DeKalb,7697,902,11.72,CVS Health (Aetna),3993,51.88,Humana,1587,20.62,HEALTH CARE SERVICE CORPORATION,538.0,6.99,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,394.0,5.12
IL,Douglas,2140,70,3.27,CVS Health (Aetna),995,46.5,"HEALTH ALLIANCE CONNECT, INC.",695,32.48,Humana,148.0,6.92,Centene (WellcCare),123.0,5.75
IL,DuPage,69665,8123,11.66,Humana,24336,34.93,CVS Health (Aetna),20295,29.13,HEALTH CARE SERVICE CORPORATION,8140.0,11.68,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,4708.0,6.76
IL,Edgar,1554,149,9.59,CVS Health (Aetna),619,39.83,Humana,256,16.47,"HEALTH ALLIANCE CONNECT, INC.",198.0,12.74,Centene (WellcCare),150.0,9.65
IL,Edwards,278,32,11.51,CVS Health (Aetna),148,53.24,Humana,39,14.03,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,18.0,6.47,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,14.0,5.04
IL,Effingham,2196,211,9.61,CVS Health (Aetna),1414,64.39,Humana,251,11.43,Centene (WellcCare),126.0,5.74,"HEALTH ALLIANCE CONNECT, INC.",95.0,4.33
IL,Fayette,1659,478,28.81,CVS Health (Aetna),872,52.56,Humana,106,6.39,Centene (WellcCare),85.0,5.12,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,55.0,3.32
IL,Ford,1176,99,8.42,CVS Health (Aetna),484,41.16,"HEALTH ALLIANCE CONNECT, INC.",310,26.36,Centene (WellcCare),105.0,8.93,Humana,78.0,6.63
IL,Franklin,3946,456,11.56,CVS Health (Aetna),1377,34.9,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,704,17.84,Humana,505.0,12.8,Centene (WellcCare),297.0,7.53
IL,Fulton,3798,380,10.01,CVS Health (Aetna),1827,48.1,Humana,863,22.72,Centene (WellcCare),228.0,6.0,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,189.0,4.98
IL,Gallatin,404,44,10.89,CVS Health (Aetna),117,28.96,Humana,100,24.75,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,75.0,18.56,Centene (WellcCare),50.0,12.38
IL,Greene,1120,301,26.88,CVS Health (Aetna),616,55.0,Humana,89,7.95,Centene (WellcCare),55.0,4.91,Molina Healthcare,26.0,2.32
IL,Grundy,3521,568,16.13,CVS Health (Aetna),1190,33.8,Humana,1159,32.92,HEALTH CARE SERVICE CORPORATION,304.0,8.63,Centene (WellcCare),161.0,4.57
IL,Hamilton,590,96,16.27,CVS Health (Aetna),254,43.05,Humana,86,14.58,Centene (WellcCare),65.0,11.02,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,34.0,5.76
IL,Hancock,1337,199,14.88,CVS Health (Aetna),529,39.57,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,201,15.03,Humana,190.0,14.21,HEALTH CARE SERVICE CORPORATION,89.0,6.66
IL,Hardin,241,34,14.11,CVS Health (Aetna),131,54.36,Humana,50,20.75,Centene (WellcCare),15.0,6.22,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,11.0,4.56
IL,Henderson,546,159,29.12,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,140,25.64,CVS Health (Aetna),136,24.91,Humana,50.0,9.16,Centene (WellcCare),29.0,5.31
IL,Henry,5912,1879,31.78,CVS Health (Aetna),1811,30.63,Humana,805,13.62,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,801.0,13.55,"HEALTH ALLIANCE CONNECT, INC.",325.0,5.5
IL,Iroquois,2409,373,15.48,CVS Health (Aetna),796,33.04,"HEALTH ALLIANCE CONNECT, INC.",392,16.27,Humana,341.0,14.16,Centene (WellcCare),210.0,8.72
IL,Jackson,5506,1084,19.69,CVS Health (Aetna),2928,53.18,Humana,383,6.96,Cigna,211.0,3.83,HEALTH CARE SERVICE CORPORATION,202.0,3.67
IL,Jasper,653,61,9.34,CVS Health (Aetna),366,56.05,Humana,89,13.63,"HEALTH ALLIANCE CONNECT, INC.",66.0,10.11,Centene (WellcCare),34.0,5.21
IL,Jefferson,2705,448,16.56,CVS Health (Aetna),1237,45.73,Humana,331,12.24,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,215.0,7.95,Centene (WellcCare),201.0,7.43
IL,Jersey,2461,1126,45.75,CVS Health (Aetna),996,40.47,Humana,115,4.67,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,87.0,3.54,"CHA HMO, INC.",39.0,1.58
IL,Jo Daviess,3976,481,12.1,"MEDICAL ASSOCIATES HEALTH PLAN, INC.",1978,49.75,CVS Health (Aetna),866,21.78,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,198.0,4.98,Humana,179.0,4.5
IL,Johnson,1316,123,9.35,CVS Health (Aetna),788,59.88,Humana,188,14.29,HEALTH CARE SERVICE CORPORATION,71.0,5.4,Centene (WellcCare),47.0,3.57
IL,Kane,37703,5325,14.12,CVS Health (Aetna),11682,30.98,Humana,9696,25.72,HEALTH CARE SERVICE CORPORATION,4152.0,11.01,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,2615.0,6.94
IL,Kankakee,9247,1166,12.61,CVS Health (Aetna),3314,35.84,Humana,2121,22.94,HEALTH CARE SERVICE CORPORATION,786.0,8.5,"HARMONY HEALTH PLAN,  INC.",385.0,4.16
IL,Kendall,7727,1138,14.73,Humana,2993,38.73,CVS Health (Aetna),2213,28.64,HEALTH CARE SERVICE CORPORATION,587.0,7.6,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,378.0,4.89
IL,Knox,5730,642,11.2,Humana,1781,31.08,CVS Health (Aetna),1541,26.89,"HARMONY HEALTH PLAN,  INC.",563.0,9.83,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,344.0,6.0
IL,La Salle,9372,1222,13.04,CVS Health (Aetna),3475,37.08,Humana,2394,25.54,HEALTH CARE SERVICE CORPORATION,816.0,8.71,Centene (WellcCare),448.0,4.78
IL,Lake,45360,6517,14.37,Humana,16460,36.29,CVS Health (Aetna),11847,26.12,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,3964.0,8.74,HEALTH CARE SERVICE CORPORATION,3059.0,6.74
IL,Lawrence,756,162,21.43,CVS Health (Aetna),297,39.29,Humana,159,21.03,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,59.0,7.8,"HEALTH ALLIANCE CONNECT, INC.",40.0,5.29
IL,Lee,3398,411,12.1,CVS Health (Aetna),1684,49.56,Humana,554,16.3,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,420.0,12.36,Centene (WellcCare),136.0,4.0
IL,Livingston,3388,331,9.77,Humana,1294,38.19,CVS Health (Aetna),1180,34.83,"HEALTH ALLIANCE CONNECT, INC.",211.0,6.23,Centene (WellcCare),170.0,5.02
IL,Logan,2920,267,9.14,CVS Health (Aetna),1520,52.05,Humana,408,13.97,"HEALTH ALLIANCE CONNECT, INC.",257.0,8.8,Centene (WellcCare),158.0,5.41
IL,Macon,9016,273,3.03,CVS Health (Aetna),5657,62.74,Humana,1208,13.4,Molina Healthcare,562.0,6.23,Centene (WellcCare),432.0,4.79
IL,Macoupin,5083,1820,35.81,CVS Health (Aetna),2310,45.45,Humana,345,6.79,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,181.0,3.56,Centene (WellcCare),146.0,2.87
IL,Madison,32887,11863,36.07,CVS Health (Aetna),10475,31.85,"ESSENCE HEALTHCARE, INC.",3010,9.15,Humana,1920.0,5.84,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,1769.0,5.38
IL,Marion,2980,1132,37.99,CVS Health (Aetna),1131,37.95,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,233,7.82,Humana,228.0,7.65,Centene (WellcCare),131.0,4.4
IL,Marshall,1196,117,9.78,Humana,398,33.28,CVS Health (Aetna),387,32.36,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,111.0,9.28,Centene (WellcCare),61.0,5.1
IL,Mason,1375,156,11.35,CVS Health (Aetna),708,51.49,Humana,237,17.24,Centene (WellcCare),103.0,7.49,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,79.0,5.75
IL,Massac,1072,209,19.5,CVS Health (Aetna),412,38.43,Humana,384,35.82,HEALTH CARE SERVICE CORPORATION,26.0,2.43,Molina Healthcare,18.0,1.68
IL,McDonough,2767,325,11.75,CVS Health (Aetna),1681,60.75,Humana,309,11.17,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,191.0,6.9,Centene (WellcCare),95.0,3.43
IL,McHenry,23649,3063,12.95,CVS Health (Aetna),8565,36.22,Humana,6506,27.51,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,2041.0,8.63,HEALTH CARE SERVICE CORPORATION,1881.0,7.95
IL,McLean,13547,871,6.43,CVS Health (Aetna),5826,43.01,Humana,3387,25.0,"HEALTH ALLIANCE CONNECT, INC.",1367.0,10.09,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,845.0,6.24
IL,Menard,1588,100,6.3,CVS Health (Aetna),1002,63.1,Humana,206,12.97,"HEALTH ALLIANCE CONNECT, INC.",79.0,4.97,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,73.0,4.6
IL,Mercer,1989,938,47.16,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,348,17.5,CVS Health (Aetna),331,16.64,Humana,171.0,8.6,"HEALTH ALLIANCE CONNECT, INC.",90.0,4.52
IL,Monroe,4634,1389,29.97,CVS Health (Aetna),1914,41.3,"ESSENCE HEALTHCARE, INC.",683,14.74,Humana,225.0,4.86,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,188.0,4.06
IL,Montgomery,2769,583,21.05,CVS Health (Aetna),1751,63.24,Humana,103,3.72,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,71.0,2.56,Molina Healthcare,70.0,2.53
IL,Morgan,3532,313,8.86,CVS Health (Aetna),2155,61.01,Humana,438,12.4,Centene (WellcCare),226.0,6.4,HEALTH CARE SERVICE CORPORATION,127.0,3.6
IL,Moultrie,1069,56,5.24,CVS Health (Aetna),674,63.05,"HEALTH ALLIANCE CONNECT, INC.",120,11.23,Humana,115.0,10.76,Centene (WellcCare),53.0,4.96
IL,Ogle,5644,502,8.89,CVS Health (Aetna),3258,57.73,Humana,993,17.59,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,413.0,7.32,HEALTH CARE SERVICE CORPORATION,150.0,2.66
IL,Peoria,19312,2134,11.05,Humana,6857,35.51,CVS Health (Aetna),5668,29.35,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,1157.0,5.99,"HARMONY HEALTH PLAN,  INC.",1022.0,5.29
IL,Perry,2068,552,26.69,CVS Health (Aetna),592,28.63,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,571,27.61,Humana,117.0,5.66,Centene (WellcCare),48.0,2.32
IL,Piatt,2299,68,2.96,"HEALTH ALLIANCE CONNECT, INC.",1104,48.02,CVS Health (Aetna),839,36.49,Humana,134.0,5.83,Centene (WellcCare),62.0,2.7
IL,Pike,1154,429,37.18,CVS Health (Aetna),479,41.51,Centene (WellcCare),69,5.98,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,49.0,4.25,HEALTH CARE SERVICE CORPORATION,44.0,3.81
IL,Pope,350,49,14.0,CVS Health (Aetna),203,58.0,Humana,74,21.14,Centene (WellcCare),13.0,3.71,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,11.0,3.14
IL,Pulaski,547,104,19.01,CVS Health (Aetna),250,45.7,Humana,120,21.94,HEALTH CARE SERVICE CORPORATION,28.0,5.12,Centene (WellcCare),26.0,4.75
IL,Putnam,435,45,10.34,CVS Health (Aetna),179,41.15,Elevance Health (Anthem),86,19.77,Humana,66.0,15.17,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,34.0,7.82
IL,Randolph,3657,1211,33.11,CVS Health (Aetna),1682,45.99,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,369,10.09,Humana,131.0,3.58,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,85.0,2.32
IL,Richland,992,96,9.68,CVS Health (Aetna),439,44.25,Humana,166,16.73,"HEALTH ALLIANCE CONNECT, INC.",103.0,10.38,Centene (WellcCare),82.0,8.27
IL,Rock Island,19318,7006,36.27,CVS Health (Aetna),5655,29.27,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,2142,11.09,Humana,1848.0,9.57,"HEALTH ALLIANCE CONNECT, INC.",1701.0,8.81
IL,Saline,2223,269,12.1,CVS Health (Aetna),797,35.85,Humana,334,15.02,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,266.0,11.97,Centene (WellcCare),234.0,10.53
IL,Sangamon,26499,2130,8.04,CVS Health (Aetna),19566,73.84,Humana,2096,7.91,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,715.0,2.7,"HEALTH ALLIANCE CONNECT, INC.",535.0,2.02
IL,Schuyler,564,66,11.7,CVS Health (Aetna),357,63.3,Humana,57,10.11,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,45.0,7.98,Molina Healthcare,16.0,2.84
IL,Scott,394,45,11.42,CVS Health (Aetna),263,66.75,Humana,35,8.88,Centene (WellcCare),30.0,7.61,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,21.0,5.33
IL,Shelby,1612,106,6.58,CVS Health (Aetna),1077,66.81,Humana,141,8.75,Centene (WellcCare),71.0,4.4,"HEALTH ALLIANCE CONNECT, INC.",63.0,3.91
IL,St. Clair,30052,11052,36.78,CVS Health (Aetna),8056,26.81,"ESSENCE HEALTHCARE, INC.",4277,14.23,Humana,1865.0,6.21,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,1235.0,4.11
IL,Stark,474,74,15.61,CVS Health (Aetna),199,41.98,Humana,133,28.06,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,52.0,10.97,"HEALTH ALLIANCE CONNECT, INC.",16.0,3.38
IL,Stephenson,7409,585,7.9,CVS Health (Aetna),4556,61.49,Humana,997,13.46,HIGHMARK SENIOR HEALTH COMPANY,517.0,6.98,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,328.0,4.43
IL,Tazewell,13865,1243,8.97,Humana,4738,34.17,CVS Health (Aetna),4607,33.23,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,980.0,7.07,"HEALTH ALLIANCE CONNECT, INC.",606.0,4.37
IL,Union,1945,316,16.25,CVS Health (Aetna),1204,61.9,Humana,208,10.69,Centene (WellcCare),80.0,4.11,HEALTH CARE SERVICE CORPORATION,66.0,3.39
IL,Vermilion,9973,865,8.67,"HEALTH ALLIANCE CONNECT, INC.",3919,39.3,CVS Health (Aetna),2643,26.5,Molina Healthcare,701.0,7.03,Humana,677.0,6.79
IL,Wabash,568,83,14.61,CVS Health (Aetna),236,41.55,Humana,104,18.31,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,72.0,12.68,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,40.0,7.04
IL,Warren,1453,218,15.0,CVS Health (Aetna),499,34.34,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,260,17.89,Centene (WellcCare),158.0,10.87,Humana,157.0,10.81
IL,Washington,983,319,32.45,CVS Health (Aetna),500,50.86,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,65,6.61,Humana,53.0,5.39,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,46.0,4.68
IL,Wayne,918,130,14.16,CVS Health (Aetna),384,41.83,Humana,200,21.79,Centene (WellcCare),63.0,6.86,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,51.0,5.56
IL,White,1007,135,13.41,CVS Health (Aetna),356,35.35,Humana,237,23.54,Centene (WellcCare),119.0,11.82,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,55.0,5.46
IL,Whiteside,5817,1712,29.43,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,1502,25.82,CVS Health (Aetna),1395,23.98,Humana,815.0,14.01,Centene (WellcCare),160.0,2.75
IL,Will,51277,6327,12.34,Humana,18147,35.39,CVS Health (Aetna),13344,26.02,HEALTH CARE SERVICE CORPORATION,5920.0,11.55,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,3322.0,6.48
IL,Williamson,6070,201,3.31,CVS Health (Aetna),2789,45.95,HEALTH CARE SERVICE CORPORATION,814,13.41,Cigna,697.0,11.48,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,565.0,9.31
